attr_feature_industry,attr_feature_regcap,attr_feature_n1,attr_feature_n2,attr_feature_n3,attr_feature_n4,attr_feature_c1,attr_feature_c2,attr_feature_c3,attr_feature_c4,attr_feature_sum_c1j,attr_feature_sum_c2j,attr_feature_sum_c3j,attr_feature_sum_c4j,attr_feature_rho1,attr_feature_rho2,attr_feature_rho3,attr_feature_rho4,attr_feature_beta1,attr_feature_beta2,attr_feature_beta3,attr_feature_beta4,attr_feature_1degree_num,attr_feature_2degree_num,attr_feature_MMWY_num,attr_feature_JDWY_num,attr_feature_JYYC_num,attr_feature_peroson_invest_num,attr_feature_fr_invest_num,attr_feature_SUPERVISOR_num,attr_feature_EXECUTIVE_num,attr_feature_DIRECTOR_num,attr_feature_LEGAL_num,attr_feature_L_E_num,attr_feature_L_S_num,attr_feature_L_D_num,attr_feature_D_S_num,attr_feature_D_E_num,attr_feature_S_E_num,attr_feature_L_E_D_num,attr_feature_L_E_S_num,attr_feature_L_D_S_num,attr_feature_E_D_S_num,attr_feature_L_E_D_S_num,company_name,node_id
租赁和商务服务业,30000000.0,2,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0,1,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,石家庄金苹果投资咨询有限公司,a998e73067474facb26dc008ae13c7f3
租赁和商务服务业,10000000.0,3,7,6,3,1,1,0,0,3,8,8,3,0.333333333,0.047619048,0.0,0,1,1.142857143,1.333333333,1.0,3.0,7.0,0.0,0.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,北京贷乐金融服务外包有限公司,5c90a7cd9d17425ebc1f63c04e0e6f78
金融业,500000000.0,15,28,93,231,0,3,39,0,15,46,142,351,0.0,0.007936508,0.00911641,0,1,1.642857143,1.52688172,1.519480519,15.0,28.0,0.0,95.0,0.0,13.0,0.0,3.0,1.0,5.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,贵州乾宝通汇融资担保股份有限公司,dc3e93c5387f48a1becba28b7ad06fb3
信息传输、软件和信息技术服务业,20000000.0,9,44,556,3148,2,13,115,0,9,62,769,6085,0.055555556,0.013742072,0.00074535,0,1,1.409090909,1.383093525,1.932973316,9.0,44.0,0.0,0.0,1.0,3.0,2.0,1.0,1.0,5.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,安徽德众金融信息服务有限公司,a9aa75de9f2a4426b4a952eeed0fb462
信息传输、软件和信息技术服务业,150000000.0,8,77,153,886,5,41,36,0,8,90,241,1173,0.17857142899999998,0.014012303,0.003095975,0,1,1.1688311690000002,1.575163399,1.323927765,8.0,77.0,0.0,0.0,0.0,2.0,4.0,1.0,1.0,3.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,上海商赢乐点互联网金融信息服务有限公司,6b6cc97c385e4450a44746f98edfe01d
租赁和商务服务业,500000.0,2,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0,1,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,固始恒远商务服务有限公司,4fae8eb439cd4755a8838776edd8b636
信息传输、软件和信息技术服务业,10000000.0,3,13,14,69,0,3,2,0,3,19,22,123,0.0,0.038461538,0.021978022000000003,0,1,1.4615384619999998,1.571428571,1.782608696,3.0,13.0,0.0,0.0,3.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,北京车乐网络科技有限公司,3c9eb04a76794678a8b2007c96aafdc2
租赁和商务服务业,20000000.0,3,3,5,2,0,1,0,0,3,3,5,2,0.0,0.333333333,0.0,0,1,1.0,1.0,1.0,3.0,3.0,0.0,32.0,0.0,3.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,重庆君嘉投资有限公司,2d9c8a8ebede4a0296d132052ac4f5ef
租赁和商务服务业,10000000.0,5,7,17,60,5,0,2,0,5,7,17,81,0.5,0.0,0.014705882,0,1,1.0,1.0,1.35,5.0,7.0,0.0,1.0,2.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,北京安信普惠资产管理有限责任公司,9b2612feb6484f388a695210f37a53c8
租赁和商务服务业,50000000.0,2,5,8,6,0,0,0,0,2,5,8,6,0.0,0.0,0.0,0,1,1.0,1.0,1.0,2.0,5.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,四川致盛投资管理有限公司,487a2a50e50c48ada574775ad97fe3bb
批发和零售业,10000000.0,8,39,176,1112,3,9,10,0,8,41,229,1870,0.107142857,0.012145749,0.0006493509999999999,0,1,1.051282051,1.301136364,1.681654676,8.0,39.0,0.0,0.0,0.0,1.0,3.0,1.0,1.0,4.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,南宁大宗商品交易所有限公司,9e25b03052104e13898f7d3d979493de
